method,max_depth,min_samples_split,min_samples_leaf,criterion,train_time,train_accuracy,val_accuracy,val_std,test_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,test_macro_f1,tree_depth,n_leaves,overfit_gap,train_test_gap
5-Fold CV,10.0,10,1,gini,0.07057762145996094,0.9320695777543421,0.8918501450759516,0.016815204547632388,0.8819188191881919,0.8539610190955557,0.8815674929772974,0.8651341543859725,0.8948111667647662,0.8918501450759516,0.8922304093798947,0.8776583444507972,10,81,0.040219432678390454,0.050150758566150144
5-Fold CV,10.0,20,1,gini,0.07014298439025879,0.9006461172889774,0.8530508619218298,0.016335227492917707,0.8597785977859779,0.810927274356356,0.7908267561445715,0.7920583470972845,0.8537455477217997,0.8530508619218298,0.8504595491305119,0.8114915607603078,10,52,0.04759525536714759,0.040867519502999494
5-Fold CV,10.0,50,1,gini,0.07278728485107422,0.8710723678062715,0.8410564942823008,0.015684547356203674,0.8265682656826568,0.7904781414736581,0.7164260072126319,0.7357759341063494,0.8422931888322095,0.8410564942823008,0.8361789679457876,0.755339547345733,8,24,0.030015873523970726,0.044504102123614664
5-Fold CV,10.0,2,5,gini,0.062320709228515625,0.9184378379099976,0.8807731694828469,0.015296729653472669,0.9003690036900369,0.8366337788050554,0.8307430699175097,0.8311385524974002,0.8817411382181384,0.8807731694828469,0.8802397099819089,0.8880546334420872,10,73,0.03766466842715066,0.01806883421996064
5-Fold CV,10.0,2,10,gini,0.07986235618591309,0.8849369234671401,0.839179040791944,0.014199699790352637,0.8376383763837638,0.7792741796350944,0.7616520116114933,0.7652130451083878,0.838679946912715,0.839179040791944,0.8367537031639903,0.7631993651153562,9,46,0.04575788267519609,0.04729854708337633
5-Fold CV,10.0,2,20,gini,0.06970620155334473,0.8646026512168097,0.847520908004779,0.010702859482715899,0.8044280442804428,0.7913213365947324,0.7376673372819914,0.7573163820199322,0.8442114279944983,0.847520908004779,0.8438819643797137,0.6999490917293875,6,27,0.01708174321203071,0.06017460693636689
5-Fold CV,10.0,2,1,entropy,0.07019662857055664,0.9676519510339212,0.8816990954087729,0.003737678477372815,0.8819188191881919,0.8516109433445138,0.8582642435412241,0.853232718810929,0.8834603420764283,0.8816990954087729,0.8813563401935223,0.8772669110913274,10,141,0.08595285562514832,0.08573313184572928
5-Fold CV,,2,1,entropy,0.07239890098571777,0.9711177562108692,0.8724654377880185,0.011078839346049115,0.8819188191881919,0.8386907563445334,0.8470958253023632,0.8403123983513534,0.8749229271416101,0.8724654377880185,0.8721590070620703,0.8772669110913274,15,159,0.0986523184228506,0.08919893702267723
5-Fold CV,5.0,10,5,gini,0.07070016860961914,0.8791597805337142,0.8604540023894863,0.026294783479041108,0.8118081180811808,0.7859765410056084,0.7734884072651556,0.7748515320210254,0.8627123036928085,0.8604540023894863,0.8599438411370821,0.7071811377588856,5,24,0.018705778144227914,0.06735166245253343
5-Fold CV,15.0,5,2,entropy,0.07333016395568848,0.944779399004125,0.8817204301075268,0.01518853750658867,0.8745387453874539,0.8470929557039145,0.857616759755577,0.8498513554087296,0.8858798036001179,0.8817204301075268,0.8814979158726803,0.8719042455272515,14,126,0.06305896889659823,0.07024065361667109
